定刻,出発時間,行先,,ゲート番号,滑走路,滑走路到着時間,遅延
19:55,,東京,,着陸,S,19:55.0,0
20:00,20:00,東京,,D7,S,20.0:05,0
20:00,20:00,東京,,D5,X,20.0:06,0
20:00,,台北/桃園,,着陸,S,20.0:3.316666666666667,4
20:00,,奄美大島,,着陸,X,20.0:4.1,5
20:00,,名古屋/中部,,着陸,S,20.0:5.316666666666666,6
20:05,20:05,名古屋/小牧,,D2,X,20.0:11,0
20:05,,沖縄/那覇,,着陸,S,20.0:7.316666666666666,3
20:10,20:10,宮崎,,D8,S,20.0:15,0
20:10,20:10,名古屋/中部,,D11,X,20.0:16,0
20:15,20:15,沖縄/那覇,,D11,S,20.0:21,0
20:20,20:20,成田,,D1,X,20.0:26,0
20:20,,高雄,,欠航,,,
20:20,,出雲,,着陸,S,20:20.0,0
20:25,20:25,成田,,D3,S,20.0:30,0
20:25,,名古屋/中部,,着陸,X,20:25.0,0
20:25,,沖縄/那覇,,着陸,X,20:27.0,2
20:25,,東京,,着陸,S,20.0:28.466666666666665,4
20:30,,東京,,着陸,X,20:30.0,0
20:30,,高崎,,着陸,S,20.0:30.466666666666665,1
20:35,,東京,,着陸,X,20:35.0,0
20:40,20:40,名古屋/中部,,D4,S,20.0:45,0
20:50,20:50,東京,,D9,X,20.0:56,0
20:50,,沖縄/那覇,,着陸,S,20:50.0,0
20:55,20:55,沖縄/那覇,,D12,S,21.0:01,0
20:55,,東京,,着陸,X,20:55.0,0
20:55,,成田,,着陸,X,20:57.0,2
20:55,,仙台,,着陸,X,20:59.0,4
21:00,21:00,東京,,D6,S,21.0:05,0
21:00,,台北/桃園,,欠航,,,
21:00,,東京,,着陸,X,21:1.0,1
21:00,,沖縄/那覇,,着陸,X,21:3.0,3
21:05,21:05,東京,,D5,S,21.0:10,0
21:10,21:10,関西,,D1,X,21.0:16,0
21:10,,徳島,,着陸,S,21:10.0,0
21:10,,小松,,着陸,S,21:12.0,2
21:15,21:15,東京,,D11,S,21.0:21,0
21:15,,大阪,,着陸,X,21:15.0,0
21:20,21:20,東京,,D2,X,21.0:26,0
21:20,,新潟,,着陸,S,21:20.0,0
21:25,,東京,,着陸,S,21:25.0,0
21:25,,成田,,着陸,X,21:25.0,0
21:25,,沖縄/那覇,,着陸,X,21:27.0,2
21:30,,大阪,,着陸,S,21:30.0,0
21:30,,名古屋/中部,,着陸,X,21:30.0,0
21:30,,沖縄/那覇,,着陸,X,21:32.0,2
21:30,,名古屋/小牧,,着陸,S,21:32.0,2
21:30,,宮崎,,着陸,X,21:34.0,4
21:35,,宮崎,,着陸,S,21:35.0,0
21:35,,東京,,着陸,X,21:36.0,1
21:45,,東京,,着陸,S,21:45.0,0
21:55,,東京,,着陸,X,21:55.0,0
21:55,,東京,,着陸,S,21:55.0,0
,,,,,,,
平均遅延時間,8.723908183367659,[s],,,,,
